"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.33061762932942,0.343,0.073,0,"Normal","IGFBP6"
0,0.959086954532589,0.67,0.401,0,"Normal","SELENOP"
0,3.31504172873371,0.355,0.086,0,"Normal","MAMDC2"
0,4.69098041328642,0.3,0.031,0,"Normal","PWWP3B"
0,3.51274180134478,0.332,0.064,0,"Normal","LRRC17"
0,1.90735923964245,0.587,0.319,0,"Normal","SPART"
0,1.84549774859488,0.605,0.337,0,"Normal","SMDT1"
0,0.439101905394829,0.248,0.514,0,"Normal","DHCR24"
0,2.53378350286726,0.366,0.1,0,"Normal","SPON2"
0,5.48181012608119,0.381,0.115,0,"Normal","CFD"
0,1.83152312856156,0.95,0.684,0,"Normal","RPL27"
0,0.711768705571035,0.393,0.128,0,"Normal","CLEC2B"
0,6.06335797001453,0.271,0.006,0,"Normal","SIGLEC11"
0,4.63771748357588,0.288,0.023,0,"Normal","MYH11"
0,6.8829777440674,0.273,0.009,0,"Normal","STXBP5L"
0,1.72657485395258,0.533,0.272,0,"Normal","RAB31"
0,2.22994445542014,0.352,0.092,0,"Normal","SLC9A9"
0,2.16585797307744,0.493,0.233,0,"Normal","PLD1"
0,4.03169381118488,0.276,0.016,0,"Normal","CNTN1"
0,1.99221241905427,0.939,0.68,0,"Normal","SNHG29"
0,1.40557041748055,0.671,0.413,0,"Normal","BNIP3L"
0,4.455923915843,0.279,0.021,0,"Normal","MMP19"
0,1.55659313388538,0.813,0.555,0,"Normal","NOP53"
0,2.38635626166881,0.383,0.126,0,"Normal","ID3"
0,2.49620361075715,0.379,0.122,0,"Normal","PLAGL1"
0,1.68461910997187,0.578,0.321,0,"Normal","ESD"
0,4.99914793894066,0.274,0.018,0,"Normal","MIR493HG"
0,3.2586127967033,0.296,0.04,0,"Normal","SRPX2"
0,3.61363738296422,0.331,0.076,0,"Normal","CLSTN2"
0,3.55892481869806,0.382,0.127,0,"Normal","FBLN5"
0,1.81999510344493,0.544,0.29,0,"Normal","SMARCA1"
0,7.48105130895046,0.256,0.002,0,"Normal","GSTM5"
0,4.72006078380031,0.27,0.016,0,"Normal","GNG4"
0,2.16343880968895,0.407,0.153,0,"Normal","DPYSL2"
0,2.10142275035821,0.443,0.19,0,"Normal","CNTLN"
0,3.09352303747147,0.28,0.027,0,"Normal","DOK6"
0,1.22401416021318,0.423,0.171,0,"Normal","PCOLCE"
0,5.29360784374189,0.262,0.011,0,"Normal","ACTG2"
0,3.78025642472699,0.273,0.022,0,"Normal","MFAP4"
0,9.92685878998974,0.251,0.001,0,"Normal","SPRR2F"
0,4.29598077828549,0.272,0.022,0,"Normal","PID1"
0,4.45795851751853,0.278,0.028,0,"Normal","HS3ST1"
0,1.229845205585,0.885,0.635,0,"Normal","SLC25A6"
0,2.43127176683816,0.52,0.271,0,"Normal","ROBO1"
0,2.49774626513056,0.32,0.071,0,"Normal","ADAM12"
0,1.52810332289602,0.29,0.041,0,"Normal","THBS2"
0,2.88384948025247,0.285,0.036,0,"Normal","NALF1"
0,1.53593853302704,0.704,0.455,0,"Normal","CPQ"
0,1.93300500442683,0.485,0.238,0,"Normal","EPB41L4A-AS1"
0,1.82641721479837,0.503,0.257,0,"Normal","DSE"
